latitude,longitude,countryCode,continent
-54.283333,-36.5,GS,Antarctica
-49.35,70.216667,TF,Antarctica
31.76666667,35.233333,PS,Asia
60.116667,19.9,AX,Europe
-0.5477,166.920867,NR,Australia
18.0731,-63.0822,MF,North America
-9.166667,-171.833333,TK,Australia
27.153611,-13.203333,EH,Africa
34.51666667,69.183333,AF,Asia
41.31666667,19.816667,AL,Europe
36.75,3.05,DZ,Africa
-14.26666667,-170.7,AS,Australia
42.5,1.516667,AD,Europe
-8.833333333,13.216667,AO,Africa
18.21666667,-63.05,AI,North America
17.11666667,-61.85,AG,North America
-34.58333333,-58.666667,AR,South America
40.16666667,44.5,AM,Europe
12.51666667,-70.033333,AW,North America
-35.26666667,149.133333,AU,Australia
48.2,16.366667,AT,Europe
40.38333333,49.866667,AZ,Europe
25.08333333,-77.35,BS,North America
26.23333333,50.566667,BH,Asia
23.71666667,90.4,BD,Asia
13.1,-59.616667,BB,North America
53.9,27.566667,BY,Europe
50.83333333,4.333333,BE,Europe
17.25,-88.766667,BZ,Central America
6.483333333,2.616667,BJ,Africa
32.28333333,-64.783333,BM,North America
27.46666667,89.633333,BT,Asia
-16.5,-68.15,BO,South America
43.86666667,18.416667,BA,Europe
-24.63333333,25.9,BW,Africa
-15.78333333,-47.916667,BR,South America
18.41666667,-64.616667,VG,North America
4.883333333,114.933333,BN,Asia
42.68333333,23.316667,BG,Europe
12.36666667,-1.516667,BF,Africa
16.8,96.15,MM,Asia
-3.366666667,29.35,BI,Africa
11.55,104.916667,KH,Asia
3.866666667,11.516667,CM,Africa
45.41666667,-75.7,CA,Central America
14.91666667,-23.516667,CV,Africa
19.3,-81.383333,KY,North America
4.366666667,18.583333,CF,Africa
12.1,15.033333,TD,Africa
-33.45,-70.666667,CL,South America
39.91666667,116.383333,CN,Asia
-10.41666667,105.716667,CX,Australia
-12.16666667,96.833333,CC,Australia
4.6,-74.083333,CO,South America
-11.7,43.233333,KM,Africa
-4.316666667,15.3,CD,Africa
-4.25,15.283333,CG,Africa
-21.2,-159.766667,CK,Australia
9.933333333,-84.083333,CR,Central America
6.816666667,-5.266667,CI,Africa
45.8,16,HR,Europe
23.11666667,-82.35,CU,North America
12.1,-68.916667,CW,North America
35.16666667,33.366667,CY,Europe
50.08333333,14.466667,CZ,Europe
55.66666667,12.583333,DK,Europe
11.58333333,43.15,DJ,Africa
15.3,-61.4,DM,North America
18.46666667,-69.9,DO,North America
-0.216666667,-78.5,EC,South America
30.05,31.25,EG,Africa
13.7,-89.2,SV,Central America
3.75,8.783333,GQ,Africa
15.33333333,38.933333,ER,Africa
59.43333333,24.716667,EE,Europe
9.033333333,38.7,ET,Africa
-51.7,-57.85,FK,South America
62,-6.766667,FO,Europe
-18.13333333,178.416667,FJ,Australia
60.16666667,24.933333,FI,Europe
48.86666667,2.333333,FR,Europe
-17.53333333,-149.566667,PF,Australia
0.383333333,9.45,GA,Africa
13.45,-16.566667,GM,Africa
41.68333333,44.833333,GE,Europe
52.51666667,13.4,DE,Europe
5.55,-0.216667,GH,Africa
36.13333333,-5.35,GI,Europe
37.98333333,23.733333,GR,Europe
64.18333333,-51.75,GL,Central America
12.05,-61.75,GD,North America
13.46666667,144.733333,GU,Australia
14.61666667,-90.516667,GT,Central America
49.45,-2.533333,GG,Europe
9.5,-13.7,GN,Africa
11.85,-15.583333,GW,Africa
6.8,-58.15,GY,South America
18.53333333,-72.333333,HT,North America
41.9,12.45,VA,Europe
14.1,-87.216667,HN,Central America
47.5,19.083333,HU,Europe
64.15,-21.95,IS,Europe
28.6,77.2,IN,Asia
-6.166666667,106.816667,ID,Asia
35.7,51.416667,IR,Asia
33.33333333,44.4,IQ,Asia
53.31666667,-6.233333,IE,Europe
54.15,-4.483333,IM,Europe
31.76666667,35.233333,IL,Asia
41.9,12.483333,IT,Europe
18,-76.8,JM,North America
35.68333333,139.75,JP,Asia
49.18333333,-2.1,JE,Europe
31.95,35.933333,JO,Asia
51.16666667,71.416667,KZ,Asia
-1.283333333,36.816667,KE,Africa
-0.883333333,169.533333,KI,Australia
39.01666667,125.75,KP,Asia
37.55,126.983333,KR,Asia
42.66666667,21.166667,KO,Europe
29.36666667,47.966667,KW,Asia
42.86666667,74.6,KG,Asia
17.96666667,102.6,LA,Asia
56.95,24.1,LV,Europe
33.86666667,35.5,LB,Asia
-29.31666667,27.483333,LS,Africa
6.3,-10.8,LR,Africa
32.88333333,13.166667,LY,Africa
47.13333333,9.516667,LI,Europe
54.68333333,25.316667,LT,Europe
49.6,6.116667,LU,Europe
42,21.433333,MK,Europe
-18.91666667,47.516667,MG,Africa
-13.96666667,33.783333,MW,Africa
3.166666667,101.7,MY,Asia
4.166666667,73.5,MV,Asia
12.65,-8,ML,Africa
35.88333333,14.5,MT,Europe
7.1,171.383333,MH,Australia
18.06666667,-15.966667,MR,Africa
-20.15,57.483333,MU,Africa
19.43333333,-99.133333,MX,Central America
6.916666667,158.15,FM,Australia
47,28.85,MD,Europe
43.73333333,7.416667,MC,Europe
47.91666667,106.916667,MN,Asia
42.43333333,19.266667,ME,Europe
16.7,-62.216667,MS,North America
34.01666667,-6.816667,MA,Africa
-25.95,32.583333,MZ,Africa
-22.56666667,17.083333,NA,Africa
27.71666667,85.316667,NP,Asia
52.35,4.916667,NL,Europe
-22.26666667,166.45,NC,Australia
-41.3,174.783333,NZ,Australia
12.13333333,-86.25,NI,Central America
13.51666667,2.116667,NE,Africa
9.083333333,7.533333,NG,Africa
-19.01666667,-169.916667,NU,Australia
-29.05,167.966667,NF,Australia
15.2,145.75,MP,Australia
59.91666667,10.75,NO,Europe
23.61666667,58.583333,OM,Asia
33.68333333,73.05,PK,Asia
7.483333333,134.633333,PW,Australia
8.966666667,-79.533333,PA,Central America
-9.45,147.183333,PG,Australia
-25.26666667,-57.666667,PY,South America
-12.05,-77.05,PE,South America
14.6,120.966667,PH,Asia
-25.06666667,-130.083333,PN,Australia
52.25,21,PL,Europe
38.71666667,-9.133333,PT,Europe
18.46666667,-66.116667,PR,North America
25.28333333,51.533333,QA,Asia
44.43333333,26.1,RO,Europe
55.75,37.6,RU,Europe
-1.95,30.05,RW,Africa
17.88333333,-62.85,BL,North America
-15.93333333,-5.716667,SH,Africa
17.3,-62.716667,KN,North America
14,-61,LC,North America
46.76666667,-56.183333,PM,Central America
13.13333333,-61.216667,VC,Central America
-13.81666667,-171.766667,WS,Australia
43.93333333,12.416667,SM,Europe
0.333333333,6.733333,ST,Africa
24.65,46.7,SA,Asia
14.73333333,-17.633333,SN,Africa
44.83333333,20.5,RS,Europe
-4.616666667,55.45,SC,Africa
8.483333333,-13.233333,SL,Africa
1.283333333,103.85,SG,Asia
18.01666667,-63.033333,SX,North America
48.15,17.116667,SK,Europe
46.05,14.516667,SI,Europe
-9.433333333,159.95,SB,Australia
2.066666667,45.333333,SO,Africa
-25.7,28.216667,ZA,Africa
4.85,31.616667,SS,Africa
40.4,-3.683333,ES,Europe
6.916666667,79.833333,LK,Asia
15.6,32.533333,SD,Africa
5.833333333,-55.166667,SR,South America
78.21666667,15.633333,SJ,Europe
-26.31666667,31.133333,SZ,Africa
59.33333333,18.05,SE,Europe
46.91666667,7.466667,CH,Europe
33.5,36.3,SY,Asia
25.03333333,121.516667,TW,Asia
38.55,68.766667,TJ,Asia
-6.8,39.283333,TZ,Africa
13.75,100.516667,TH,Asia
-8.583333333,125.6,TL,Asia
6.116666667,1.216667,TG,Africa
-21.13333333,-175.2,TO,Australia
10.65,-61.516667,TT,North America
36.8,10.183333,TN,Africa
39.93333333,32.866667,TR,Europe
37.95,58.383333,TM,Asia
21.46666667,-71.133333,TC,North America
-8.516666667,179.216667,TV,Australia
0.316666667,32.55,UG,Africa
50.43333333,30.516667,UA,Europe
24.46666667,54.366667,AE,Asia
51.5,-0.083333,GB,Europe
38.883333,-77,US,North America
-34.85,-56.166667,UY,South America
41.31666667,69.25,UZ,Asia
-17.73333333,168.316667,VU,Australia
10.48333333,-66.866667,VE,South America
21.03333333,105.85,VN,Asia
18.35,-64.933333,VI,North America
-13.95,-171.933333,WF,Australia
15.35,44.2,YE,Asia
-15.41666667,28.283333,ZM,Africa
-17.81666667,31.033333,ZW,Africa
38.883333,-77,UM,Australia
0,0,AQ,Antarctica
35.183333,33.366667,NULL,Europe
22.285,114.158,HK,Asia
0,0,HM,Antarctica
-7.3,72.4,IO,Africa
0,0,MO,Asia
